   332,108137,19660101,   -8,    0
   332,108137,19660102,   18,    0
   332,108137,19660103,   20,    0
   332,108137,19660104,  -13,    0
   332,108137,19660105,  -36,    0
   332,108137,19660106,  -32,    0
   332,108137,19660107,  -31,    0
   332,108137,19660108,  -29,    0
   332,108137,19660109,  -16,    0
   332,108137,19660110,  -22,    0
   332,108137,19660111,  -35,    0
   332,108137,19660112,  -48,    0
   332,108137,19660113,  -25,    0
   332,108137,19660114,  -26,    0
   332,108137,19660115,  -35,    0
   332,108137,19660116,  -62,    0
   332,108137,19660117,  -90,    0
   332,108137,19660118,  -56,    0
   332,108137,19660119,  -24,    0
   332,108137,19660120,  -42,    0
   332,108137,19660121,  -51,    0
   332,108137,19660122,  -40,    0
   332,108137,19660123,  -32,    0
   332,108137,19660124,   -6,    0
   332,108137,19660125,  -18,    0
   332,108137,19660126,  -47,    0
   332,108137,19660127,  -81,    0
   332,108137,19660128,  -70,    0
   332,108137,19660129,  -26,    0
   332,108137,19660130,    2,    0
   332,108137,19660131,   37,    0
   332,108137,19660201,   18,    0
   332,108137,19660202,   -6,    0
   332,108137,19660203,  -41,    0
   332,108137,19660204,  -67,    0
   332,108137,19660205,  -22,    0
   332,108137,19660206,   37,    0
   332,108137,19660207,   -9,    0
   332,108137,19660208,  -72,    0
   332,108137,19660209,  -94,    0
   332,108137,19660210,  -96,    0
   332,108137,19660211,  -78,    0
   332,108137,19660212,  -60,    0
   332,108137,19660213,  -54,    0
   332,108137,19660214,  -28,    0
   332,108137,19660215,  -15,    0
   332,108137,19660216,  -27,    0
   332,108137,19660217,  -50,    0
   332,108137,19660218,  -40,    0
   332,108137,19660219,   -6,    0
   332,108137,19660220,    4,    0
   332,108137,19660221,   48,    0
   332,108137,19660222,   44,    0
   332,108137,19660223,   46,    0
   332,108137,19660224,   32,    0
   332,108137,19660225,   42,    0
   332,108137,19660226,   46,    0
   332,108137,19660227,   55,    0
   332,108137,19660228,   69,    0
   332,108137,19660301,   38,    0
